,Date,Description,Category,Amount,Account,Account #,Institution,Month,Week,Transaction Id,Account Id,Check Number,Full Description,Date Added
,12/28/2025,Amazon,Clothes/Gear,-$44.42,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,12/28/2025,bd5bcg136c4127c85egdca8f,a5fe955fe0ga85gdagecegdf,,Amazon     xxx-xxx-7407,12/28/2025
,12/28/2025,New York Times,Subscriptions,-$13.99,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/28/2025,ega1dfba03feg54a18ecc1ge,8bcf3af8b1g4e6de2fgbgd1e,,New York Times,12/28/2025
,12/28/2025,Lifewise,Insurance,-$241.26,Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,12/28/2025,aadacfe8dffgd8c35e1cc6c6,6f444bde8771fgc0e3cgf538,,Lifewise,12/28/2025
,12/28/2025,Lioness Life Coach,Guidance,-$110.00,Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,12/28/2025,a0a51dg18ccf2cc9d6cdb7ed,6f444bde8771fgc0e3cgf538,,Lioness Life Coach     xxx-xxx-9990,12/28/2025
,12/26/2025,AppleTv,Streaming,-$27.00,Discover Platinum,xxxx6374,Discover,12/1/2025,12/21/2025,gd3gda4gacc8cb1eca26ccfg,eb2fdb0bffd1de7e68ga976g,,AppleTv,12/26/2025
,12/26/2025,Flying Fish,Restaurants,-$67.57,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/21/2025,a6cbab70b9437ad1ab11f8fe,8bcf3af8b1g4e6de2fgbgd1e,,Flying Fish,12/26/2025
,12/25/2025,AAA,Fees/Repairs/Maint.,-$29.99,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/21/2025,d2fdc55cgec8f1adcffb247d,8bcf3af8b1g4e6de2fgbgd1e,,AAA     xxx-xxx-3232,12/25/2025
,12/25/2025,Albertsons,Groceries,-$112.10,Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,12/21/2025,0c9de311bb4c7baedf7cbf6a,6f444bde8771fgc0e3cgf538,,Albertsons     xxx-xxx-2112,12/25/2025
,12/25/2025,Amazon,Gifts,-$74.05,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,12/21/2025,dbfbfecacb20gfdfg55b9cbd,a5fe955fe0ga85gdagecegdf,,Amazon     xxx-xxx-7000,12/25/2025
,12/25/2025,Roto Rooter,Household,-$46.74,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,12/21/2025,0dd7bag642ebe3g3d9dc029d,a5fe955fe0ga85gdagecegdf,,Roto Rooter     xxx-xxx-4766,12/25/2025
,12/25/2025,Capitol Hill Apartments,Rent,"-$1,131.33",Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/21/2025,ffbgb806ebgc5gfd56f3acbd,76b2c15ae4fabbc100g312cb,,Capitol Hill Apartments,12/25/2025
,12/24/2025,Shell,Gas,-$43.99,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,12/21/2025,f51ga8dd08ef0d0842fb2c8b,a5fe955fe0ga85gdagecegdf,,Shell,12/24/2025
,12/24/2025,Seattle Sehawks,Fun,-$42.21,Discover Platinum,xxxx6374,Discover,12/1/2025,12/21/2025,3cdg1gf93ba8a5gcf423a151,eb2fdb0bffd1de7e68ga976g,,Seattle Sehawks,12/24/2025
,12/24/2025,New York Times,Subscriptions,-$13.99,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/21/2025,de33381040e2aaf58627eace,8bcf3af8b1g4e6de2fgbgd1e,,New York Times     xxx-xxx-7399,12/24/2025
,12/23/2025,The Paramount,Fun,-$31.84,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,12/21/2025,6b2gag25bdaabedb0gfff0bd,a5fe955fe0ga85gdagecegdf,,The Paramount,12/23/2025
,12/23/2025,New Yorker,Subscriptions,-$14.49,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/21/2025,9f9906cba0bfe3e7gefg6f6d,8bcf3af8b1g4e6de2fgbgd1e,,New Yorker,12/23/2025
,12/23/2025,Albertsons,Groceries,-$94.14,Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,12/21/2025,01ed0aag3cdcgddc27346f97,6f444bde8771fgc0e3cgf538,,Albertsons     xxx-xxx-3899,12/23/2025
,12/23/2025,CenturyLink,Internet,-$87.50,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/21/2025,f432bf8fg7ecfc138de39bc5,8bcf3af8b1g4e6de2fgbgd1e,,CenturyLink,12/23/2025
,12/23/2025,Credit Card Payment Received,Transfer,"$3,662.63",Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,12/21/2025,fcca7c2cee97deabg945bbaf,a5fe955fe0ga85gdagecegdf,,Credit Card Payment Received,12/23/2025
,12/22/2025,Amazon,Clothes/Gear,-$38.51,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,12/21/2025,9286gb680b10aeedfcfcgdbb,a5fe955fe0ga85gdagecegdf,,Amazon     xxx-xxx-2078,12/22/2025
,12/22/2025,UPS,Misc,-$11.73,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/21/2025,00dddgega93dc0b0f850cfb8,76b2c15ae4fabbc100g312cb,,UPS,12/22/2025
,12/22/2025,Monsoon,Restaurants,-$73.25,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/21/2025,c0feb51078g4f9d61abbd3a2,8bcf3af8b1g4e6de2fgbgd1e,,Monsoon     xxx-xxx-1110,12/22/2025
,12/21/2025,Feathered Friends,Clothes/Gear,-$45.29,Discover Platinum,xxxx6374,Discover,12/1/2025,12/21/2025,g26bgg3bedf806gc1eea8fb0,eb2fdb0bffd1de7e68ga976g,,Feathered Friends,12/21/2025
,12/21/2025,Credit Card Payment,Transfer,"-$3,662.63",Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/21/2025,afcc3ffgf8cgbacc97b09dcc,8bcf3af8b1g4e6de2fgbgd1e,,Credit Card Payment     xxx-xxx-7733,12/21/2025
,12/20/2025,Nordstrom,Clothes/Gear,-$29.48,Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,12/14/2025,8aebbee55cgc19de1a77bdec,6f444bde8771fgc0e3cgf538,,Nordstrom     xxx-xxx-9328,12/20/2025
,12/20/2025,Safeway,Groceries,-$101.30,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/14/2025,0453g8gdf05a16b4fd6gd3ag,76b2c15ae4fabbc100g312cb,,Safeway,12/20/2025
,12/20/2025,7 Limbs Yoga,Gym/Yoga,-$49.99,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/14/2025,5c9dad96a01abae1b8ae2a03,76b2c15ae4fabbc100g312cb,,7 Limbs Yoga,12/20/2025
,12/19/2025,Starbucks,Snacks/Coffee,-$22.85,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,12/14/2025,c2ae2bc9dce8dadded2ecbed,a5fe955fe0ga85gdagecegdf,,Starbucks     xxx-xxx-8875,12/19/2025
,12/18/2025,The Paramount,Fun,-$37.40,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/14/2025,g4e172bd5ggddf6d37gb51e2,76b2c15ae4fabbc100g312cb,,The Paramount,12/18/2025
,12/18/2025,The Guitar Store,Hobbies,-$13.05,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/14/2025,30c9b1cgb6e9c114198g29af,8bcf3af8b1g4e6de2fgbgd1e,,The Guitar Store     xxx-xxx-4713,12/18/2025
,12/17/2025,Alaska Airlines,Vacation,-$108.45,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/14/2025,b7ce3begbg693fecbbg7d2d6,8bcf3af8b1g4e6de2fgbgd1e,,Alaska Airlines     xxx-xxx-9188,12/17/2025
,12/17/2025,Kaiser Pharmacy,Pharmacy,-$35.91,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/14/2025,55af15gabb2889e1d2cea8f8,76b2c15ae4fabbc100g312cb,,Kaiser Pharmacy     xxx-xxx-9741,12/17/2025
